date,hour,dc_output,ac_output
000-01-07,4,0,0
000-01-07,5,0,0
000-01-07,6,0,0
000-01-07,7,0,0
000-01-07,8,313.985,285.655
000-01-07,9,196.087,170.134
000-01-07,10,171.669,146.194
000-01-07,11,394.666,364.642
000-01-07,12,250.233,223.203
000-01-07,13,696.544,659.687
000-01-07,14,881.447,840.022
000-01-07,15,532.18,499.139
000-01-07,16,17.455,0
000-01-07,17,0,0
000-01-07,18,0,0
000-01-07,19,0,0
000-01-07,20,0,0
000-01-07,21,0,0
000-01-07,22,0,0
000-01-07,23,0,0
000-01-08,0,0,0
000-01-08,1,0,0
000-01-08,2,0,0
000-01-08,3,0,0
000-01-08,4,0,0
000-01-08,5,0,0
000-01-08,6,0,0
000-01-08,7,0,0
000-01-08,8,26.458,3.716
000-01-08,9,112.814,88.468
000-01-08,10,1667.087,1603.001
000-01-08,11,2043.834,1967.017
000-01-08,12,321.493,293.008
000-01-08,13,1225.651,1174.945
000-01-08,14,402.017,371.835
000-01-08,15,188.001,162.206
000-01-08,16,3.339,0
000-01-08,17,0,0
000-01-08,18,0,0
000-01-08,19,0,0
000-01-08,20,0,0
000-01-08,21,0,0
000-01-08,22,0,0
000-01-08,23,0,0
000-01-09,0,0,0
000-01-09,1,0,0
000-01-09,2,0,0
000-01-09,3,0,0
000-01-09,4,0,0
000-01-09,5,0,0
000-01-09,6,0,0
000-01-09,7,0,0
000-01-09,8,91.376,67.434
000-01-09,9,460.139,428.699
000-01-09,10,343.573,314.628
000-01-09,11,153.633,128.507
000-01-09,12,330.495,301.823
000-01-09,13,182.943,157.247
000-01-09,14,139.683,114.825
000-01-09,15,106.562,82.334
000-01-09,16,3.379,0
000-01-09,17,0,0
000-01-09,18,0,0
000-01-09,19,0,0
000-01-09,20,0,0
000-01-09,21,0,0
000-01-09,22,0,0
000-01-09,23,0,0
000-01-10,0,0,0
000-01-10,1,0,0
000-01-10,2,0,0
000-01-10,3,0,0
000-01-10,4,0,0
000-01-10,5,0,0
000-01-10,6,0,0
000-01-10,7,0,0
000-01-10,8,20.01,0
000-01-10,9,100.314,76.204
000-01-10,10,173.845,148.327
000-01-10,11,209.721,183.499
000-01-10,12,206.34,180.185
000-01-10,13,182.264,156.582
000-01-10,14,139.205,114.356
000-01-10,15,102.82,78.664
000-01-10,16,3.313,0
000-01-10,17,0,0
000-01-10,18,0,0
000-01-10,19,0,0
000-01-10,20,0,0
000-01-10,21,0,0
000-01-10,22,0,0
000-01-10,23,0,0
000-01-11,0,0,0
000-01-11,1,0,0
000-01-11,2,0,0
000-01-11,3,0,0
000-01-11,4,0,0
000-01-11,5,0,0
000-01-11,6,0,0
000-01-11,7,0,0
000-01-11,8,20.448,0
000-01-11,9,102.07,77.927
000-01-11,10,155.126,129.971
000-01-11,11,191.363,165.503
000-01-11,12,207.282,181.109
000-01-11,13,206.314,180.159
000-01-11,14,166.484,141.109
000-01-11,15,99.811,75.711
000-01-11,16,3.31,0
000-01-11,17,0,0
000-01-11,18,0,0
000-01-11,19,0,0
000-01-11,20,0,0
000-01-11,21,0,0
000-01-11,22,0,0
000-01-11,23,0,0
000-01-12,0,0,0
000-01-12,1,0,0
000-01-12,2,0,0
000-01-12,3,0,0
000-01-12,4,0,0
000-01-12,5,0,0
000-01-12,6,0,0
000-01-12,7,0,0
000-01-12,8,42.512,19.477
000-01-12,9,173.401,147.892
000-01-12,10,311.908,283.621
000-01-12,11,337.857,309.032
000-01-12,12,348.004,318.966
000-01-12,13,310.664,282.403
000-01-12,14,224.049,197.543
000-01-12,15,155.317,130.158
000-01-12,16,6.511,0
000-01-12,17,0,0
000-01-12,18,0,0
000-01-12,19,0,0
000-01-12,20,0,0
000-01-12,21,0,0
000-01-12,22,0,0
000-01-12,23,0,0
000-01-13,0,0,0
000-01-13,1,0,0
000-01-13,2,0,0
000-01-13,3,0,0
000-01-13,4,0,0
000-01-13,5,0,0
000-01-13,6,0,0
000-01-13,7,0,0
000-01-13,8,23.392,0.706
000-01-13,9,114.146,89.775
000-01-13,10,206.771,180.607
000-01-13,11,296.023,268.063
000-01-13,12,298.231,270.226
000-01-13,13,285.705,257.956
000-01-13,14,190.382,164.541
000-01-13,15,151.554,126.468
000-01-13,16,6.622,0
000-01-13,17,0,0
000-01-13,18,0,0
000-01-13,19,0,0
000-01-13,20,0,0
000-01-13,21,0,0
000-01-13,22,0,0
000-01-13,23,0,0
000-01-14,0,0,0
000-01-14,1,0,0
000-01-14,2,0,0
000-01-14,3,0,0
000-01-14,4,0,0
000-01-14,5,0,0
000-01-14,6,0,0
000-01-14,7,0,0
000-01-14,8,23.637,0.947
000-01-14,9,87.64,63.768
000-01-14,10,137.799,112.977
000-01-14,11,173.988,148.467
000-01-14,12,187.197,161.418
000-01-14,13,159.122,133.889
000-01-14,14,162.396,137.1
000-01-14,15,92.854,68.885
000-01-14,16,6.658,0
000-01-14,17,0,0
000-01-14,18,0,0
000-01-14,19,0,0
000-01-14,20,0,0
000-01-14,21,0,0
000-01-14,22,0,0
000-01-14,23,0,0
000-01-15,0,0,0
000-01-15,1,0,0
000-01-15,2,0,0
000-01-15,3,0,0
000-01-15,4,0,0
000-01-15,5,0,0
000-01-15,6,0,0
000-01-15,7,0,0
000-01-15,8,37.743,14.796
000-01-15,9,145.205,120.241
000-01-15,10,248.223,221.234
000-01-15,11,321.081,292.604
000-01-15,12,351.819,322.702
000-01-15,13,312.353,284.057
000-01-15,14,257.937,230.752
000-01-15,15,141.846,116.947
000-01-15,16,10.032,0
000-01-15,17,0,0
000-01-15,18,0,0
000-01-15,19,0,0
000-01-15,20,0,0
000-01-15,21,0,0
000-01-15,22,0,0
000-01-15,23,0,0
000-01-16,0,0,0
000-01-16,1,0,0
000-01-16,2,0,0
000-01-16,3,0,0
000-01-16,4,0,0
000-01-16,5,0,0
000-01-16,6,0,0
000-01-16,7,0,0
000-01-16,8,23.251,0.567
000-01-16,9,86.272,62.426
000-01-16,10,135.907,111.122
000-01-16,11,171.639,146.164
000-01-16,12,183.997,158.281
000-01-16,13,157.68,132.475
000-01-16,14,131.384,106.685
000-01-16,15,88.815,64.921
000-01-16,16,6.548,0
000-01-16,17,0,0
000-01-16,18,0,0
000-01-16,19,0,0
000-01-16,20,0,0
000-01-16,21,0,0
000-01-16,22,0,0
000-01-16,23,0,0
000-01-17,0,0,0
000-01-17,1,0,0
000-01-17,2,0,0
000-01-17,3,0,0
000-01-17,4,0,0
000-01-17,5,0,0
000-01-17,6,0,0
000-01-17,7,0,0
000-01-17,8,29.545,6.747
000-01-17,9,128.303,103.663
000-01-17,10,203.03,176.94
000-01-17,11,244.143,217.235
000-01-17,12,269.622,242.2
000-01-17,13,2005.115,1929.662
000-01-17,14,1978.514,1903.99
000-01-17,15,1233.911,1182.97
000-01-17,16,262.753,235.47
000-01-17,17,0,0
000-01-17,18,0,0
000-01-17,19,0,0
000-01-17,20,0,0
000-01-17,21,0,0
000-01-17,22,0,0
000-01-17,23,0,0
000-01-18,0,0,0
000-01-18,1,0,0
000-01-18,2,0,0
000-01-18,3,0,0
000-01-18,4,0,0
000-01-18,5,0,0
000-01-18,6,0,0
000-01-18,7,0,0
000-01-18,8,370.298,340.791
000-01-18,9,1272.407,1220.363
000-01-18,10,132.685,107.961
000-01-18,11,258.643,231.443
000-01-18,12,2230.831,2147.245
000-01-18,13,2354.896,2266.655
000-01-18,14,1584.075,1522.632
000-01-18,15,1094.528,1047.476
000-01-18,16,239.233,212.424
000-01-18,17,0,0
000-01-18,18,0,0
000-01-18,19,0,0
000-01-18,20,0,0
000-01-18,21,0,0
000-01-18,22,0,0
000-01-18,23,0,0
000-01-19,0,0,0
000-01-19,1,0,0
000-01-19,2,0,0
000-01-19,3,0,0
000-01-19,4,0,0
000-01-19,5,0,0
000-01-19,6,0,0
000-01-19,7,0,0
000-01-19,8,428.67,397.915
000-01-19,9,1370.021,1315.122
000-01-19,10,1919.455,1846.974
000-01-19,11,2468.747,2376.118
000-01-19,12,2363.888,2275.304
000-01-19,13,2204.313,2121.705
000-01-19,14,1948.872,1875.378
000-01-19,15,1172.773,1123.559
000-01-19,16,276.596,249.032
000-01-19,17,0,0
000-01-19,18,0,0
000-01-19,19,0,0
000-01-19,20,0,0
000-01-19,21,0,0
000-01-19,22,0,0
000-01-19,23,0,0
000-01-20,0,0,0
000-01-20,1,0,0
000-01-20,2,0,0
000-01-20,3,0,0
000-01-20,4,0,0
000-01-20,5,0,0
000-01-20,6,0,0
000-01-20,7,0,0
000-01-20,8,351.503,322.392
000-01-20,9,1304.712,1251.732
000-01-20,10,182.149,156.469
000-01-20,11,1430.552,1373.843
000-01-20,12,2352.311,2264.168
000-01-20,13,239.803,212.983
000-01-20,14,1729.764,1663.644
000-01-20,15,1259.194,1207.53
000-01-20,16,315.48,287.119
000-01-20,17,0,0
000-01-20,18,0,0
000-01-20,19,0,0
000-01-20,20,0,0
000-01-20,21,0,0
000-01-20,22,0,0
000-01-20,23,0,0
000-01-21,0,0,0
000-01-21,1,0,0
000-01-21,2,0,0
000-01-21,3,0,0
000-01-21,4,0,0
000-01-21,5,0,0
000-01-21,6,0,0
000-01-21,7,0,0
000-01-21,8,572.674,538.715
000-01-21,9,1435.205,1378.355
000-01-21,10,2103.094,2024.163
000-01-21,11,2531.042,2435.967
000-01-21,12,2650.49,2550.629
000-01-21,13,2474.028,2381.193
000-01-21,14,2017.977,1942.072
000-01-21,15,1272.497,1220.45
000-01-21,16,330.458,301.787
000-01-21,17,0,0
000-01-21,18,0,0
000-01-21,19,0,0
000-01-21,20,0,0
000-01-21,21,0,0
000-01-21,22,0,0
000-01-21,23,0,0
000-01-22,0,0,0
000-01-22,1,0,0
000-01-22,2,0,0
000-01-22,3,0,0
000-01-22,4,0,0
000-01-22,5,0,0
000-01-22,6,0,0
000-01-22,7,0,0
000-01-22,8,473.62,441.884
000-01-22,9,565.96,532.154
000-01-22,10,258.675,231.475
000-01-22,11,281.578,253.913
000-01-22,12,330.24,301.573
000-01-22,13,315.54,287.178
000-01-22,14,723.326,685.825
000-01-22,15,1057.598,1011.549
000-01-22,16,246.562,219.606
000-01-22,17,0,0
000-01-22,18,0,0
000-01-22,19,0,0
000-01-22,20,0,0
000-01-22,21,0,0
000-01-22,22,0,0
000-01-22,23,0,0
000-01-23,0,0,0
000-01-23,1,0,0
000-01-23,2,0,0
000-01-23,3,0,0
000-01-23,4,0,0
000-01-23,5,0,0
000-01-23,6,0,0
000-01-23,7,0,0
000-01-23,8,146.401,121.414
000-01-23,9,454.939,423.612
000-01-23,10,534.4,501.309
000-01-23,11,281.429,253.767
000-01-23,12,351.254,322.148
000-01-23,13,212.329,186.056
000-01-23,14,1794.555,1726.298
000-01-23,15,1271.267,1219.255
000-01-23,16,368.588,339.118
000-01-23,17,0,0
000-01-23,18,0,0
000-01-23,19,0,0
000-01-23,20,0,0
000-01-23,21,0,0
000-01-23,22,0,0
000-01-23,23,0,0
000-01-24,0,0,0
000-01-24,1,0,0
000-01-24,2,0,0
000-01-24,3,0,0
000-01-24,4,0,0
000-01-24,5,0,0
000-01-24,6,0,0
000-01-24,7,0,0
000-01-24,8,546.709,513.341
000-01-24,9,1556.211,1495.642
000-01-24,10,2178.322,2096.667
000-01-24,11,2348.424,2260.429
000-01-24,12,2591.574,2494.088
000-01-24,13,2471.066,2378.347
000-01-24,14,1987.756,1912.91
000-01-24,15,1276.633,1224.467
000-01-24,16,379.111,349.418
000-01-24,17,0,0
000-01-24,18,0,0
000-01-24,19,0,0
000-01-24,20,0,0
000-01-24,21,0,0
000-01-24,22,0,0
000-01-24,23,0,0
000-01-25,0,0,0
000-01-25,1,0,0
000-01-25,2,0,0
000-01-25,3,0,0
000-01-25,4,0,0
000-01-25,5,0,0
000-01-25,6,0,0
000-01-25,7,0,0
000-01-25,8,528.176,495.225
000-01-25,9,1178.306,1128.936
000-01-25,10,152.672,127.564
000-01-25,11,651.177,615.396
000-01-25,12,2396.583,2306.749
000-01-25,13,834.566,794.326
000-01-25,14,1700.758,1635.584
000-01-25,15,1294.512,1241.828
000-01-25,16,404.391,374.159
000-01-25,17,0,0
000-01-25,18,0,0
000-01-25,19,0,0
000-01-25,20,0,0
000-01-25,21,0,0
000-01-25,22,0,0
000-01-25,23,0,0
000-01-26,0,0,0
000-01-26,1,0,0
000-01-26,2,0,0
000-01-26,3,0,0
000-01-26,4,0,0
000-01-26,5,0,0
000-01-26,6,0,0
000-01-26,7,0,0
000-01-26,8,82.414,58.64
000-01-26,9,251.544,224.487
000-01-26,10,169.408,143.976
000-01-26,11,328.022,299.401
000-01-26,12,355.453,326.259
000-01-26,13,1844.651,1774.716
000-01-26,14,1799.788,1731.356
000-01-26,15,105.3,81.096
000-01-26,16,19.329,0
000-01-26,17,0,0
000-01-26,18,0,0
000-01-26,19,0,0
000-01-26,20,0,0
000-01-26,21,0,0
000-01-26,22,0,0
000-01-26,23,0,0
000-01-27,0,0,0
000-01-27,1,0,0
000-01-27,2,0,0
000-01-27,3,0,0
000-01-27,4,0,0
000-01-27,5,0,0
000-01-27,6,0,0
000-01-27,7,0,0
000-01-27,8,36.119,13.201
000-01-27,9,1209.015,1158.781
000-01-27,10,1473.413,1415.403
000-01-27,11,236.15,209.403
000-01-27,12,2422.882,2332.034
000-01-27,13,1319.915,1266.491
000-01-27,14,1445.975,1388.799
000-01-27,15,1241.187,1190.039
000-01-27,16,0,0
000-01-27,17,0,0
000-01-27,18,0,0
000-01-27,19,0,0
000-01-27,20,0,0
000-01-27,21,0,0
000-01-27,22,0,0
000-01-27,23,0,0
000-01-28,0,0,0
000-01-28,1,0,0
000-01-28,2,0,0
000-01-28,3,0,0
000-01-28,4,0,0
000-01-28,5,0,0
000-01-28,6,0,0
000-01-28,7,0,0
000-01-28,8,437.02,406.084
000-01-28,9,328.556,299.925
000-01-28,10,323.032,294.515
000-01-28,11,260.233,233.001
000-01-28,12,308.6,280.382
000-01-28,13,1540.702,1480.617
000-01-28,14,441.287,410.259
000-01-28,15,1033.925,988.513
000-01-28,16,0,0
000-01-28,17,0,0
000-01-28,18,0,0
000-01-28,19,0,0
000-01-28,20,0,0
000-01-28,21,0,0
000-01-28,22,0,0
000-01-28,23,0,0
000-01-29,0,0,0
000-01-29,1,0,0
000-01-29,2,0,0
000-01-29,3,0,0
000-01-29,4,0,0
000-01-29,5,0,0
000-01-29,6,0,0
000-01-29,7,0,0
000-01-29,8,342.411,313.49
000-01-29,9,348.542,319.494
000-01-29,10,574.611,540.607
000-01-29,11,484.249,452.278
000-01-29,12,376.993,347.345
000-01-29,13,675.259,638.909
000-01-29,14,972.059,928.288
000-01-29,15,1162.898,1113.959
000-01-29,16,0,0
000-01-29,17,0,0
000-01-29,18,0,0
000-01-29,19,0,0
000-01-29,20,0,0
000-01-29,21,0,0
000-01-29,22,0,0
000-01-29,23,0,0
000-01-30,0,0,0
000-01-30,1,0,0
000-01-30,2,0,0
000-01-30,3,0,0
000-01-30,4,0,0
000-01-30,5,0,0
000-01-30,6,0,0
000-01-30,7,0,0
000-01-30,8,39.23,16.256
000-01-30,9,213.129,186.839
000-01-30,10,658.275,622.327
000-01-30,11,1193.772,1143.968
000-01-30,12,470.839,439.164
000-01-30,13,848.179,807.597
000-01-30,14,774.545,735.796
000-01-30,15,1231.459,1180.588
000-01-30,16,0,0
000-01-30,17,0,0
000-01-30,18,0,0
000-01-30,19,0,0
000-01-30,20,0,0
000-01-30,21,0,0
000-01-30,22,0,0
000-01-30,23,0,0
000-01-31,0,0,0
000-01-31,1,0,0
000-01-31,2,0,0
000-01-31,3,0,0
000-01-31,4,0,0
000-01-31,5,0,0
000-01-31,6,0,0
000-01-31,7,0,0
000-01-31,8,717.018,679.669
000-01-31,9,1539.228,1479.189
000-01-31,10,2245.886,2161.742
000-01-31,11,2793.276,2687.536
000-01-31,12,2823.668,2716.653
000-01-31,13,2425.791,2334.83
000-01-31,14,968.95,925.261
000-01-31,15,969.522,925.818
000-01-31,16,0,0
000-01-31,17,0,0
000-01-31,18,0,0
000-01-31,19,0,0
000-01-31,20,0,0
000-01-31,21,0,0
000-01-31,22,0,0
000-01-31,23,0,0
000-02-01,0,0,0
000-02-01,1,0,0
000-02-01,2,0,0
000-02-01,3,0,0
000-02-01,4,0,0
000-02-01,5,0,0
000-02-01,6,0,0
000-02-01,7,0,0
000-02-01,8,743.309,705.324
000-02-01,9,943.283,900.265
000-02-01,10,1248.399,1197.044
000-02-01,11,1685.967,1621.273
000-02-01,12,442.378,411.325
000-02-01,13,411.301,380.921
000-02-01,14,1953.026,1879.388
000-02-01,15,798.499,759.159
000-02-01,16,0,0
000-02-01,17,0,0
000-02-01,18,0,0
000-02-01,19,0,0
000-02-01,20,0,0
000-02-01,21,0,0
000-02-01,22,0,0
000-02-01,23,0,0
000-02-02,0,0,0
000-02-02,1,0,0
000-02-02,2,0,0
000-02-02,3,0,0
000-02-02,4,0,0
000-02-02,5,0,0
000-02-02,6,0,0
000-02-02,7,0,0
000-02-02,8,885.691,844.158
000-02-02,9,1823.968,1754.727
000-02-02,10,2273.223,2188.061
000-02-02,11,1468.958,1411.083
000-02-02,12,1902.615,1830.711
000-02-02,13,865.745,824.718
000-02-02,14,574.149,540.156
000-02-02,15,857.148,816.34
000-02-02,16,0,0
000-02-02,17,0,0
000-02-02,18,0,0
000-02-02,19,0,0
000-02-02,20,0,0
000-02-02,21,0,0
000-02-02,22,0,0
000-02-02,23,0,0
000-02-03,0,0,0
000-02-03,1,0,0
000-02-03,2,0,0
000-02-03,3,0,0
000-02-03,4,0,0
000-02-03,5,0,0
000-02-03,6,0,0
000-02-03,7,0,0
000-02-03,8,765.076,726.56
000-02-03,9,808.854,769.257
000-02-03,10,2228.111,2144.625
000-02-03,11,541.119,507.877
000-02-03,12,2692.616,2591.038
000-02-03,13,1819.329,1750.244
000-02-03,14,1119.095,1071.37
000-02-03,15,1437.735,1380.808
000-02-03,16,0,0
000-02-03,17,0,0
000-02-03,18,0,0
000-02-03,19,0,0
000-02-03,20,0,0
000-02-03,21,0,0
000-02-03,22,0,0
000-02-03,23,0,0
000-02-04,0,0,0
000-02-04,1,0,0
000-02-04,2,0,0
000-02-04,3,0,0
000-02-04,4,0,0
000-02-04,5,0,0
000-02-04,6,0,0
000-02-04,7,0,0
000-02-04,8,946.881,903.769
000-02-04,9,1826.446,1757.123
000-02-04,10,2398.791,2308.871
000-02-04,11,2088.52,2010.113
000-02-04,12,235.382,208.65
000-02-04,13,211.222,184.971
000-02-04,14,1902.584,1830.681
000-02-04,15,523.651,490.803
000-02-04,16,0,0
000-02-04,17,0,0
000-02-04,18,0,0
000-02-04,19,0,0
000-02-04,20,0,0
000-02-04,21,0,0
000-02-04,22,0,0
000-02-04,23,0,0
000-02-05,0,0,0
000-02-05,1,0,0
000-02-05,2,0,0
000-02-05,3,0,0
000-02-05,4,0,0
000-02-05,5,0,0
000-02-05,6,0,0
000-02-05,7,0,0
000-02-05,8,61.849,38.458
000-02-05,9,135.559,110.78
000-02-05,10,187.295,161.515
000-02-05,11,223.807,197.305
000-02-05,12,238.902,212.1
000-02-05,13,212.102,185.833
000-02-05,14,515.882,483.207
000-02-05,15,351.736,322.621
000-02-05,16,0,0
000-02-05,17,0,0
000-02-05,18,0,0
000-02-05,19,0,0
000-02-05,20,0,0
000-02-05,21,0,0
000-02-05,22,0,0
000-02-05,23,0,0
000-02-06,0,0,0
000-02-06,1,0,0
000-02-06,2,0,0
000-02-06,3,0,0
000-02-06,4,0,0
000-02-06,5,0,0
000-02-06,6,0,0
000-02-06,7,0,0
000-02-06,8,51.634,28.432
000-02-06,9,179.992,154.354
000-02-06,10,256.972,229.807
000-02-06,11,238.913,212.11
000-02-06,12,343.776,314.827
000-02-06,13,327.032,298.432
000-02-06,14,237.475,210.701
000-02-06,15,150.363,125.3
000-02-06,16,0,0
000-02-06,17,0,0
000-02-06,18,0,0
000-02-06,19,0,0
000-02-06,20,0,0
000-02-06,21,0,0
000-02-06,22,0,0
000-02-06,23,0,0
000-02-07,0,0,0
000-02-07,1,0,0
000-02-07,2,0,0
000-02-07,3,0,0
000-02-07,4,0,0
000-02-07,5,0,0
000-02-07,6,0,0
000-02-07,7,38.424,15.464
000-02-07,8,106.81,82.578
000-02-07,9,976.827,932.931
000-02-07,10,338.461,309.623
000-02-07,11,408.799,378.472
000-02-07,12,460.746,429.292
000-02-07,13,278.664,251.059
000-02-07,14,349.278,320.214
000-02-07,15,380.482,350.76
000-02-07,16,0,0
000-02-07,17,0,0
000-02-07,18,0,0
000-02-07,19,0,0
000-02-07,20,0,0
000-02-07,21,0,0
000-02-07,22,0,0
000-02-07,23,0,0
000-02-08,0,0,0
000-02-08,1,0,0
000-02-08,2,0,0
000-02-08,3,0,0
000-02-08,4,0,0
000-02-08,5,0,0
000-02-08,6,0,0
000-02-08,7,87.723,63.85
000-02-08,8,814.581,774.841
000-02-08,9,634.501,599.111
000-02-08,10,242.421,215.548
000-02-08,11,278.318,250.719
000-02-08,12,256.01,228.863
000-02-08,13,2272.328,2187.2
000-02-08,14,2424.596,2333.682
000-02-08,15,1747.446,1680.747
000-02-08,16,0,0
000-02-08,17,0,0
000-02-08,18,0,0
000-02-08,19,0,0
000-02-08,20,0,0
000-02-08,21,0,0
000-02-08,22,0,0
000-02-08,23,0,0
000-02-09,0,0,0
000-02-09,1,0,0
000-02-09,2,0,0
000-02-09,3,0,0
000-02-09,4,0,0
000-02-09,5,0,0
000-02-09,6,0,0
000-02-09,7,0,0
000-02-09,8,196.069,170.116
000-02-09,9,274.124,246.612
000-02-09,10,801.456,762.043
000-02-09,11,938.948,896.043
000-02-09,12,2000.074,1924.797
000-02-09,13,2568.965,2472.383
000-02-09,14,636.007,600.582
000-02-09,15,1506.215,1447.198
000-02-09,16,948.813,905.651
000-02-09,17,0,0
000-02-09,18,0,0
000-02-09,19,0,0
000-02-09,20,0,0
000-02-09,21,0,0
000-02-09,22,0,0
000-02-09,23,0,0
000-02-10,0,0,0
000-02-10,1,0,0
000-02-10,2,0,0
000-02-10,3,0,0
000-02-10,4,0,0
000-02-10,5,0,0
000-02-10,6,0,0
000-02-10,7,61.187,37.808
000-02-10,8,360.108,330.816
000-02-10,9,781.948,743.017
000-02-10,10,1211.64,1161.332
000-02-10,11,513.996,481.363
000-02-10,12,476.599,444.797
000-02-10,13,413.403,382.978
000-02-10,14,338.197,309.364
000-02-10,15,147,122.002
000-02-10,16,187.314,161.533
000-02-10,17,0,0
000-02-10,18,0,0
000-02-10,19,0,0
000-02-10,20,0,0
000-02-10,21,0,0
000-02-10,22,0,0
000-02-10,23,0,0
000-02-11,0,0,0
000-02-11,1,0,0
000-02-11,2,0,0
000-02-11,3,0,0
000-02-11,4,0,0
000-02-11,5,0,0
000-02-11,6,0,0
000-02-11,7,113.993,89.625
000-02-11,8,1040.542,994.953
000-02-11,9,1765.509,1698.214
000-02-11,10,1668.756,1604.617
000-02-11,11,2003.807,1928.4
000-02-11,12,2538.167,2442.809
000-02-11,13,2775.087,2670.105
000-02-11,14,2506.411,2412.307
000-02-11,15,1869.268,1798.501
000-02-11,16,975.154,931.302
000-02-11,17,0,0
000-02-11,18,0,0
000-02-11,19,0,0
000-02-11,20,0,0
000-02-11,21,0,0
000-02-11,22,0,0
000-02-11,23,0,0
000-02-12,0,0,0
000-02-12,1,0,0
000-02-12,2,0,0
000-02-12,3,0,0
000-02-12,4,0,0
000-02-12,5,0,0
000-02-12,6,0,0
000-02-12,7,138.761,113.921
000-02-12,8,1096.434,1049.33
000-02-12,9,1930.09,1857.244
000-02-12,10,2397.939,2308.052
000-02-12,11,2792.75,2687.032
000-02-12,12,2817.543,2710.787
