date,day,weekend,holiday,dst
2013-03-12,Tuesday,0,,
2013-03-13,Wednesday,0,,
2013-03-14,Thursday,0,,
2013-03-15,Friday,0,,
2013-03-16,Saturday,1,,
2013-03-17,Sunday,1,,
2013-03-18,Monday,0,,
2013-03-19,Tuesday,0,,
2013-03-20,Wednesday,0,,
2013-03-21,Thursday,0,,
2013-03-22,Friday,0,,
2013-03-23,Saturday,1,,
2013-03-24,Sunday,1,,
2013-03-25,Monday,0,,
2013-03-26,Tuesday,0,,
2013-03-27,Wednesday,0,,
2013-03-28,Thursday,0,,
2013-03-29,Friday,0,Good Friday,
2013-03-30,Saturday,1,,
2013-03-31,Sunday,1,,
2013-04-01,Monday,0,Easter Monday,
2013-04-02,Tuesday,0,,
2013-04-03,Wednesday,0,,
2013-04-04,Thursday,0,,
2013-04-05,Friday,0,,
2013-04-06,Saturday,1,,
2013-04-07,Sunday,1,,
2013-04-08,Monday,0,,
2013-04-09,Tuesday,0,,
2013-04-10,Wednesday,0,,
2013-04-11,Thursday,0,,
2013-04-12,Friday,0,,
2013-04-13,Saturday,1,,
2013-04-14,Sunday,1,,
2013-04-15,Monday,0,,
2013-04-16,Tuesday,0,,
2013-04-17,Wednesday,0,,
2013-04-18,Thursday,0,,
2013-04-19,Friday,0,,
2013-04-20,Saturday,1,,
2013-04-21,Sunday,1,,
2013-04-22,Monday,0,,
2013-04-23,Tuesday,0,,
2013-04-24,Wednesday,0,,
2013-04-25,Thursday,0,,
2013-04-26,Friday,0,,
2013-04-27,Saturday,1,,
2013-04-28,Sunday,1,,
2013-04-29,Monday,0,,
2013-04-30,Tuesday,0,,
2013-05-01,Wednesday,0,,
2013-05-02,Thursday,0,,
2013-05-03,Friday,0,,
2013-05-04,Saturday,1,,
2013-05-05,Sunday,1,,
2013-05-06,Monday,0,,
2013-05-07,Tuesday,0,,
2013-05-08,Wednesday,0,,
2013-05-09,Thursday,0,,
2013-05-10,Friday,0,,
2013-05-11,Saturday,1,,
2013-05-12,Sunday,1,,
2013-05-13,Monday,0,,
2013-05-14,Tuesday,0,,
2013-05-15,Wednesday,0,,
2013-05-16,Thursday,0,,
2013-05-17,Friday,0,,
2013-05-18,Saturday,1,,
2013-05-19,Sunday,1,,
2013-05-20,Monday,0,Victoria Day,
2013-05-21,Tuesday,0,,
2013-05-22,Wednesday,0,,
2013-05-23,Thursday,0,,
2013-05-24,Friday,0,,
2013-05-25,Saturday,1,,
2013-05-26,Sunday,1,,
2013-05-27,Monday,0,,
2013-05-28,Tuesday,0,,
2013-05-29,Wednesday,0,,
2013-05-30,Thursday,0,,
2013-05-31,Friday,0,,
2013-06-01,Saturday,1,,
2013-06-02,Sunday,1,,
2013-06-03,Monday,0,,
2013-06-04,Tuesday,0,,
2013-06-05,Wednesday,0,,
2013-06-06,Thursday,0,,
2013-06-07,Friday,0,,
2013-06-08,Saturday,1,,
2013-06-09,Sunday,1,,
2013-06-10,Monday,0,,
2013-06-11,Tuesday,0,,
2013-06-12,Wednesday,0,,
2013-06-13,Thursday,0,,
2013-06-14,Friday,0,,
2013-06-15,Saturday,1,,
2013-06-16,Sunday,1,,
2013-06-17,Monday,0,,
2013-06-18,Tuesday,0,,
2013-06-19,Wednesday,0,,
2013-06-20,Thursday,0,,
2013-06-21,Friday,0,,
2013-06-22,Saturday,1,,
2013-06-23,Sunday,1,,
2013-06-24,Monday,0,,
2013-06-25,Tuesday,0,,
2013-06-26,Wednesday,0,,
2013-06-27,Thursday,0,,
2013-06-28,Friday,0,,
2013-06-29,Saturday,1,,
2013-06-30,Sunday,1,,
2013-07-01,Monday,0,Canada Day,
2013-07-02,Tuesday,0,,
2013-07-03,Wednesday,0,,
2013-07-04,Thursday,0,,
2013-07-05,Friday,0,,
2013-07-06,Saturday,1,,
2013-07-07,Sunday,1,,
2013-07-08,Monday,0,,
2013-07-09,Tuesday,0,,
2013-07-10,Wednesday,0,,
2013-07-11,Thursday,0,,
2013-07-12,Friday,0,,
2013-07-13,Saturday,1,,
2013-07-14,Sunday,1,,
2013-07-15,Monday,0,,
2013-07-16,Tuesday,0,,
2013-07-17,Wednesday,0,,
2013-07-18,Thursday,0,,
2013-07-19,Friday,0,,
2013-07-20,Saturday,1,,
2013-07-21,Sunday,1,,
2013-07-22,Monday,0,,
2013-07-23,Tuesday,0,,
2013-07-24,Wednesday,0,,
2013-07-25,Thursday,0,,
2013-07-26,Friday,0,,
2013-07-27,Saturday,1,,
2013-07-28,Sunday,1,,
2013-07-29,Monday,0,,
2013-07-30,Tuesday,0,,
2013-07-31,Wednesday,0,,
2013-08-01,Thursday,0,,
2013-08-02,Friday,0,,
2013-08-03,Saturday,1,,
2013-08-04,Sunday,1,,
2013-08-05,Monday,0,Civic Day,
2013-08-06,Tuesday,0,,
2013-08-07,Wednesday,0,,
2013-08-08,Thursday,0,,
2013-08-09,Friday,0,,
2013-08-10,Saturday,1,,
2013-08-11,Sunday,1,,
2013-08-12,Monday,0,,
2013-08-13,Tuesday,0,,
2013-08-14,Wednesday,0,,
2013-08-15,Thursday,0,,
2013-08-16,Friday,0,,
2013-08-17,Saturday,1,,
2013-08-18,Sunday,1,,
2013-08-19,Monday,0,,
2013-08-20,Tuesday,0,,
2013-08-21,Wednesday,0,,
2013-08-22,Thursday,0,,
2013-08-23,Friday,0,,
2013-08-24,Saturday,1,,
2013-08-25,Sunday,1,,
2013-08-26,Monday,0,,
2013-08-27,Tuesday,0,,
2013-08-28,Wednesday,0,,
2013-08-29,Thursday,0,,
2013-08-30,Friday,0,,
2013-08-31,Saturday,1,,
2013-09-01,Sunday,1,,
2013-09-02,Monday,0,Labour Day,
2013-09-03,Tuesday,0,,
2013-09-04,Wednesday,0,,
2013-09-05,Thursday,0,,
2013-09-06,Friday,0,,
2013-09-07,Saturday,1,,
2013-09-08,Sunday,1,,
2013-09-09,Monday,0,,
2013-09-10,Tuesday,0,,
2013-09-11,Wednesday,0,,
2013-09-12,Thursday,0,,
2013-09-13,Friday,0,,
2013-09-14,Saturday,1,,
2013-09-15,Sunday,1,,
2013-09-16,Monday,0,,
2013-09-17,Tuesday,0,,
2013-09-18,Wednesday,0,,
2013-09-19,Thursday,0,,
2013-09-20,Friday,0,,
2013-09-21,Saturday,1,,
2013-09-22,Sunday,1,,
2013-09-23,Monday,0,,
2013-09-24,Tuesday,0,,
2013-09-25,Wednesday,0,,
2013-09-26,Thursday,0,,
2013-09-27,Friday,0,,
2013-09-28,Saturday,1,,
2013-09-29,Sunday,1,,
2013-09-30,Monday,0,,
2013-10-01,Tuesday,0,,
2013-10-02,Wednesday,0,,
2013-10-03,Thursday,0,,
2013-10-04,Friday,0,,
2013-10-05,Saturday,1,,
2013-10-06,Sunday,1,,
2013-10-07,Monday,0,,
2013-10-08,Tuesday,0,,
2013-10-09,Wednesday,0,,
2013-10-10,Thursday,0,,
2013-10-11,Friday,0,,
2013-10-12,Saturday,1,,
2013-10-13,Sunday,1,,
2013-10-14,Monday,0,Thanksgiving,
2013-10-15,Tuesday,0,,
2013-10-16,Wednesday,0,,
2013-10-17,Thursday,0,,
2013-10-18,Friday,0,,
2013-10-19,Saturday,1,,
2013-10-20,Sunday,1,,
2013-10-21,Monday,0,,
2013-10-22,Tuesday,0,,
2013-10-23,Wednesday,0,,
2013-10-24,Thursday,0,,
2013-10-25,Friday,0,,
2013-10-26,Saturday,1,,
2013-10-27,Sunday,1,,
2013-10-28,Monday,0,,
2013-10-29,Tuesday,0,,
2013-10-30,Wednesday,0,,
2013-10-31,Thursday,0,,
2013-11-01,Friday,0,,
2013-11-02,Saturday,1,,
2013-11-03,Sunday,1,,+1
2013-11-04,Monday,0,,
2013-11-05,Tuesday,0,,
2013-11-06,Wednesday,0,,
2013-11-07,Thursday,0,,
2013-11-08,Friday,0,,
2013-11-09,Saturday,1,,
2013-11-10,Sunday,1,,
2013-11-11,Monday,0,Remembrance Day,
2013-11-12,Tuesday,0,,
2013-11-13,Wednesday,0,,
2013-11-14,Thursday,0,,
2013-11-15,Friday,0,,
2013-11-16,Saturday,1,,
2013-11-17,Sunday,1,,
2013-11-18,Monday,0,,
2013-11-19,Tuesday,0,,
2013-11-20,Wednesday,0,,
2013-11-21,Thursday,0,,
2013-11-22,Friday,0,,
2013-11-23,Saturday,1,,
2013-11-24,Sunday,1,,
2013-11-25,Monday,0,,
2013-11-26,Tuesday,0,,
2013-11-27,Wednesday,0,,
2013-11-28,Thursday,0,,
2013-11-29,Friday,0,,
2013-11-30,Saturday,1,,
2013-12-01,Sunday,1,,
2013-12-02,Monday,0,,
2013-12-03,Tuesday,0,,
2013-12-04,Wednesday,0,,
2013-12-05,Thursday,0,,
2013-12-06,Friday,0,,
2013-12-07,Saturday,1,,
2013-12-08,Sunday,1,,
2013-12-09,Monday,0,,
2013-12-10,Tuesday,0,,
2013-12-11,Wednesday,0,,
2013-12-12,Thursday,0,,
2013-12-13,Friday,0,,
2013-12-14,Saturday,1,,
2013-12-15,Sunday,1,,
2013-12-16,Monday,0,,
2013-12-17,Tuesday,0,,
2013-12-18,Wednesday,0,,
2013-12-19,Thursday,0,,
2013-12-20,Friday,0,,
2013-12-21,Saturday,1,,
2013-12-22,Sunday,1,,
2013-12-23,Monday,0,,
2013-12-24,Tuesday,0,,
2013-12-25,Wednesday,0,Christmas Day,
2013-12-26,Thursday,0,Boxing Day,
2013-12-27,Friday,0,,
2013-12-28,Saturday,1,,
2013-12-29,Sunday,1,,
2013-12-30,Monday,0,,
2013-12-31,Tuesday,0,,
2014-01-01,Wednesday,0,New Years,
2014-01-02,Thursday,0,,
2014-01-03,Friday,0,,
2014-01-04,Saturday,1,,
2014-01-05,Sunday,1,,
2014-01-06,Monday,0,,
2014-01-07,Tuesday,0,,
2014-01-08,Wednesday,0,,
2014-01-09,Thursday,0,,
2014-01-10,Friday,0,,
2014-01-11,Saturday,1,,
2014-01-12,Sunday,1,,
2014-01-13,Monday,0,,
2014-01-14,Tuesday,0,,
2014-01-15,Wednesday,0,,
2014-01-16,Thursday,0,,
2014-01-17,Friday,0,,
2014-01-18,Saturday,1,,
2014-01-19,Sunday,1,,
2014-01-20,Monday,0,,
2014-01-21,Tuesday,0,,
2014-01-22,Wednesday,0,,
2014-01-23,Thursday,0,,
2014-01-24,Friday,0,,
2014-01-25,Saturday,1,,
2014-01-26,Sunday,1,,
2014-01-27,Monday,0,,
2014-01-28,Tuesday,0,,
2014-01-29,Wednesday,0,,
2014-01-30,Thursday,0,,
2014-01-31,Friday,0,,
2014-02-01,Saturday,1,,
2014-02-02,Sunday,1,,
2014-02-03,Monday,0,,
2014-02-04,Tuesday,0,,
2014-02-05,Wednesday,0,,
2014-02-06,Thursday,0,,
2014-02-07,Friday,0,,
2014-02-08,Saturday,1,,
2014-02-09,Sunday,1,,
2014-02-10,Monday,0,Family Day,
2014-02-11,Tuesday,0,,
2014-02-12,Wednesday,0,,
2014-02-13,Thursday,0,,
2014-02-14,Friday,0,,
2014-02-15,Saturday,1,,
2014-02-16,Sunday,1,,
2014-02-17,Monday,0,,
2014-02-18,Tuesday,0,,
2014-02-19,Wednesday,0,,
2014-02-20,Thursday,0,,
2014-02-21,Friday,0,,
2014-02-22,Saturday,1,,
2014-02-23,Sunday,1,,
2014-02-24,Monday,0,,
2014-02-25,Tuesday,0,,
2014-02-26,Wednesday,0,,
2014-02-27,Thursday,0,,
2014-02-28,Friday,0,,
2014-03-01,Saturday,1,,
2014-03-02,Sunday,1,,
2014-03-03,Monday,0,,
2014-03-04,Tuesday,0,,
2014-03-05,Wednesday,0,,
2014-03-06,Thursday,0,,
2014-03-07,Friday,0,,
2014-03-08,Saturday,1,,
2014-03-09,Sunday,1,,-1
2014-03-10,Monday,0,,
2014-03-11,Tuesday,0,,
2014-03-12,Wednesday,0,,
2014-03-13,Thursday,0,,
2014-03-14,Friday,0,,
2014-03-15,Saturday,1,,
2014-03-16,Sunday,1,,
2014-03-17,Monday,0,,
2014-03-18,Tuesday,0,,
2014-03-19,Wednesday,0,,
2014-03-20,Thursday,0,,
2014-03-21,Friday,0,,
2014-03-22,Saturday,1,,
2014-03-23,Sunday,1,,
2014-03-24,Monday,0,,
2014-03-25,Tuesday,0,,
2014-03-26,Wednesday,0,,
2014-03-27,Thursday,0,,
2014-03-28,Friday,0,,
2014-03-29,Saturday,1,,
2014-03-30,Sunday,1,,
2014-03-31,Monday,0,,
2014-04-01,Tuesday,0,,
2014-04-02,Wednesday,0,,
2014-04-03,Thursday,0,,
2014-04-04,Friday,0,,
2014-04-05,Saturday,1,,
2014-04-06,Sunday,1,,
2014-04-07,Monday,0,,
2014-04-08,Tuesday,0,,
2014-04-09,Wednesday,0,,
2014-04-10,Thursday,0,,
2014-04-11,Friday,0,,
2014-04-12,Saturday,1,,
2014-04-13,Sunday,1,,
2014-04-14,Monday,0,,
2014-04-15,Tuesday,0,,
2014-04-16,Wednesday,0,,
2014-04-17,Thursday,0,,
2014-04-18,Friday,0,Good Friday,
2014-04-19,Saturday,1,,
2014-04-20,Sunday,1,,
2014-04-21,Monday,0,Easter Monday,
2014-04-22,Tuesday,0,,
2014-04-23,Wednesday,0,,
2014-04-24,Thursday,0,,
2014-04-25,Friday,0,,
2014-04-26,Saturday,1,,
2014-04-27,Sunday,1,,
2014-04-28,Monday,0,,
2014-04-29,Tuesday,0,,
2014-04-30,Wednesday,0,,
2014-05-01,Thursday,0,,
2014-05-02,Friday,0,,
2014-05-03,Saturday,1,,
2014-05-04,Sunday,1,,
2014-05-05,Monday,0,,
2014-05-06,Tuesday,0,,
2014-05-07,Wednesday,0,,
2014-05-08,Thursday,0,,
2014-05-09,Friday,0,,
2014-05-10,Saturday,1,,
2014-05-11,Sunday,1,,
2014-05-12,Monday,0,,
